Symbol;Type;Volume;Open time;Open price;Close time;Close price;Purchase value;Sale value
XDWH.DE;BUY;1;12.08.2024 13:59;51,69;21.08.2024 14:15;52,45;223,72;223,68
BABA.US;BUY;1;12.08.2024 17:01;81,22;22.08.2024 16:03;83,64;321,22;320,65
AGGG.UK;BUY;1;19.08.2024 15:09;4,3995;22.08.2024 16:11;4,4155;17,11;16,95
AGGG.UK;BUY;1;19.08.2024 15:10;4,3995;22.08.2024 16:11;4,4155;17,11;16,95
AGGG.UK;BUY;1;19.08.2024 15:11;4,3995;22.08.2024 16:11;4,4155;17,11;16,95
AGGG.UK;BUY;1;19.08.2024 15:11;4,3995;22.08.2024 16:11;4,4155;17,11;16,95
AGGU.UK;BUY;4;21.08.2024 14:18;5,545;02.09.2024 09:51;5,521;85,97;85,08
AGGU.UK;BUY;4;22.08.2024 16:11;5,537;02.09.2024 09:51;5,521;85,91;85,08
AGGU.UK;BUY;4;22.08.2024 17:25;5,536;02.09.2024 09:51;5,521;85,85;85,08
AGGU.UK;BUY;4;23.08.2024 15:05;5,538;02.09.2024 09:51;5,521;85,75;85,08
AIGI.UK;BUY;1;19.08.2024 16:46;14,895;02.09.2024 10:10;14,96;57,72;57,55
SJPA.UK;BUY;1;12.08.2024 14:20;41,02;04.09.2024 17:22;42,66;207,55;215,28
INTC.US;BUY;1;12.08.2024 15:30;19,88;04.09.2024 17:23;19,84;78,75;76,14
GOLD.US;BUY;1;12.08.2024 15:32;18;09.09.2024 16:40;19,11;71,3;73,68
IQQH.DE;BUY;1;14.08.2024 10:51;7,411;10.09.2024 14:20;7,237;31,97;30,83
IUAA.UK;BUY;2;02.09.2024 09:52;5,459;10.09.2024 14:34;5,53;42,5;42,72
IUAA.UK;BUY;14;02.09.2024 09:52;5,459;11.09.2024 15:32;5,536;297,52;299,96
IUAA.UK;BUY;2;02.09.2024 10:20;5,459;11.09.2024 15:32;5,536;42,41;42,85
IUAA.UK;BUY;1;04.09.2024 16:14;5,497;11.09.2024 15:32;5,536;21,35;21,43
IUAA.UK;BUY;1;04.09.2024 17:23;5,498;11.09.2024 15:32;5,536;21,32;21,43
URNU.DE;BUY;1;19.08.2024 16:24;12,77;16.09.2024 16:46;12,472;54,79;53,03
GOLD.US;BUY;1;22.08.2024 17:25;20,29;16.09.2024 18:31;20,51;78,66;78,4
BA.UK;BUY;1;12.08.2024 16:58;13,015;17.09.2024 10:17;13,385;65,82;67,58
BA.UK;BUY;1;23.08.2024 15:04;13,115;17.09.2024 10:17;13,385;66,61;67,58
DTLE.UK;BUY;1;04.09.2024 17:24;3,337;17.09.2024 10:51;3,439;14,34;14,62
HEAL.UK;BUY;1;21.08.2024 14:21;8;17.09.2024 10:51;8,1075;31;30,95
V9N.DE;BUY;1;21.08.2024 17:27;12,664;19.09.2024 11:52;13,478;54,52;57,23
DTLA.UK;BUY;1;11.09.2024 15:32;4,9845;19.09.2024 11:56;4,947;19,49;18,8
DTLE.UK;BUY;4;04.09.2024 17:24;3,337;23.09.2024 10:23;3,349;57,37;57
HEAL.UK;BUY;1;21.08.2024 14:21;8;26.09.2024 10:01;7,955;31;30,34
HEAL.UK;BUY;1;19.09.2024 11:56;8,1975;26.09.2024 10:01;7,955;31,48;30,34
IQQH.DE;BUY;1;04.09.2024 17:29;7,327;26.09.2024 10:01;7,507;31,49;31,86
IQQH.DE;BUY;1;19.09.2024 11:55;7,646;26.09.2024 10:01;7,507;32,81;31,86
RBOT.UK;BUY;1;26.09.2024 10:09;13,495;03.10.2024 15:46;13,23;51,99;51,33
AIGI.UK;BUY;1;03.10.2024 15:51;16,135;17.10.2024 09:00;15,51;63,31;61,17
DTLE.UK;BUY;7;04.09.2024 17:24;3,337;17.10.2024 09:49;3,2255;100,39;96,76
SMH.UK;BUY;1;17.10.2024 09:50;42,77;22.10.2024 12:57;42,295;170,67;168,03
DTLE.UK;BUY;1;04.09.2024 17:24;3,337;22.10.2024 16:11;3,1375;14,34;13,48
DTLE.UK;BUY;1;04.09.2024 17:24;3,337;28.10.2024 09:28;3,104;14,34;13,43
DTLE.UK;BUY;3;09.09.2024 16:41;3,3785;28.10.2024 09:28;3,104;43,58;40,29
V9N.DE;BUY;1;26.09.2024 10:08;14,138;30.10.2024 10:02;14,382;60,64;61,95
VVMX.DE;BUY;2;08.10.2024 09:48;8,327;01.11.2024 10:03;8,331;72,36;72,22
ISLN.UK;BUY;1;17.09.2024 10:44;29,395;05.11.2024 09:00;31,025;113,37;123,45
2B7B.DE;BUY;2;28.10.2024 09:29;9,508;05.11.2024 09:04;9,323;83,14;80,79
VVMX.DE;BUY;1;01.11.2024 10:03;8,359;05.11.2024 09:07;8,563;36,61;37,11
DTLE.UK;BUY;1;09.09.2024 16:41;3,3785;13.11.2024 15:23;3,1135;14,53;13,45
DTLE.UK;BUY;1;09.09.2024 16:41;3,3785;15.11.2024 09:12;3,072;14,53;13,21
DTLE.UK;BUY;2;10.09.2024 14:20;3,3845;15.11.2024 09:12;3,072;29,14;26,43
DTLE.UK;BUY;3;10.09.2024 14:34;3,3875;15.11.2024 09:12;3,072;43,76;39,64
DTLE.UK;BUY;2;16.09.2024 16:49;3,423;15.11.2024 09:12;3,072;29,41;26,43
